Group No.,Sl. no,RPM,LOAD (kg),AIR (mm of water),FUEL (ml/min),ENGINE WATER FLOW (lph),CALORIMETER WATER FLOW (lph),T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),COMP. RATIO,Indicated Power (Ip) value (kw)
1,a,2500,10.1,36,56,500,100,27.5,52.5,28.75,46.25,540,480,18.5:1,16.85
1,b,2119,11.5,36,56,500,100,28.75,52.5,28.75,46,546,492,18.5:1,17.2
2,a,,,,,,,,,,,,,,
2,b,,,,,,,,,,,,,,
3,a,,,,,,,,,,,,,,
3,b,,,,,,,,,,,,,,
4,a,1400,2.4,10,19.33,500,70,,,,,,,18.5:1,8.65
4,b,1372,3.5,10,20,500,55,,,,,,,18.5:1,8.72
5,a,2500,6.5,48,48,520,95,,,,,,,,12.5
5,b,2100,13.1,28,52,520,95,,,,,,,,19.02
6,a,,,,,,,,,,,,,,
6,b,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
